Envi,Formula,rho,p,Group
WSOCbb,C11H17NO6,0.392,0.0431,Ulaanbaatar
WSOCbb,C11H17NO6S,-0.202,0.3124,Ulaanbaatar
WSOCbb,C11H17NO7,-0.202,0.3124,Ulaanbaatar
WSOCbb,C11H17NO7S,0.76,0,Ulaanbaatar
WSOCbb,C11H17NO8,0.76,0,Ulaanbaatar
WSOCbb,C11H17NO9,0.76,0,Ulaanbaatar
WSOCbb,C11H18N2O11S,0.76,0,Ulaanbaatar
WSOCbb,C11H18N2O9,0.76,0,Ulaanbaatar
WSOCbb,C11H18O10S2,0.76,0,Ulaanbaatar
WSOCbb,C11H18O2,-0.286,0.1486,Ulaanbaatar
WSOCbb,C11H18O4S,-0.123,0.542,Ulaanbaatar
WSOCbb,C11H18O5,-0.123,0.542,Ulaanbaatar
WSOCbb,C11H18O5S,-0.185,0.3564,Ulaanbaatar
WSOCbb,C11H18O6,-0.185,0.3564,Ulaanbaatar
WSOCbb,C11H18O6S,-0.551,0.0029,Ulaanbaatar
WSOCbb,C11H18O7,-0.551,0.0029,Ulaanbaatar
WSOCbb,C11H18O7S,-0.617,6.00E-04,Ulaanbaatar
WSOCbb,C11H18O8,-0.617,6.00E-04,Ulaanbaatar
WSOCbb,C11H18O8S,0.013,0.9494,Ulaanbaatar
WSOCbb,C11H19NO10S,0.013,0.9494,Ulaanbaatar
WSOCbb,C11H19NO11S,0.013,0.9494,Ulaanbaatar
WSOCbb,C11H19NO3,0.013,0.9494,Ulaanbaatar
WSOCbb,C11H19NO4,0.013,0.9494,Ulaanbaatar
WSOCbb,C11H19NO5S,-0.101,0.6172,Ulaanbaatar
WSOCbb,C11H19NO6S,-0.285,0.1494,Ulaanbaatar
WSOCbb,C11H19NO7,-0.285,0.1494,Ulaanbaatar
WSOCbb,C11H19NO7S,0.331,0.0914,Ulaanbaatar
WSOCbb,C11H19NO8,0.331,0.0914,Ulaanbaatar
WSOCbb,C11H19NO8S,-0.054,0.7889,Ulaanbaatar
WSOCbb,C11H19NO9S,-0.015,0.9398,Ulaanbaatar
WSOCbb,C11H20N2O11S,-0.015,0.9398,Ulaanbaatar
WSOCbb,C11H20O,-0.015,0.9398,Ulaanbaatar
WSOCbb,C11H20O11S,-0.015,0.9398,Ulaanbaatar
WSOCbb,C11H20O11S2,-0.015,0.9398,Ulaanbaatar
WSOCbb,C11H20O4S,-0.599,0.001,Ulaanbaatar
WSOCbb,C11H20O5,-0.599,0.001,Ulaanbaatar
WSOCbb,C11H20O5S,-0.342,0.0806,Ulaanbaatar
WSOCbb,C11H20O6,-0.342,0.0806,Ulaanbaatar
WSOCbb,C11H20O6S,-0.167,0.4048,Ulaanbaatar
WSOCbb,C11H20O7S,-0.12,0.5494,Ulaanbaatar
WSOCbb,C11H20O8S,-0.12,0.5494,Ulaanbaatar
WSOCbb,C11H20O8S2,-0.12,0.5494,Ulaanbaatar
WSOCbb,C11H20O9S,-0.12,0.5494,Ulaanbaatar
WSOCbb,C11H21NO10S,-0.12,0.5494,Ulaanbaatar
WSOCbb,C11H21NO3,-0.12,0.5494,Ulaanbaatar
WSOCbb,C11H21NO5,-0.12,0.5494,Ulaanbaatar
WSOCbb,C11H21NO5S,-0.321,0.1028,Ulaanbaatar
WSOCbb,C11H21NO6S,-0.567,0.002,Ulaanbaatar
WSOCbb,C11H21NO7S,0.233,0.2423,Ulaanbaatar
WSOCbb,C11H21NO8,0.233,0.2423,Ulaanbaatar
WSOCbb,C11H21NO8S,-0.376,0.0531,Ulaanbaatar
WSOCbb,C11H21NO9S,-0.376,0.0531,Ulaanbaatar
WSOCbb,C11H22N2O10S,-0.376,0.0531,Ulaanbaatar
WSOCbb,C11H22N2O11S,-0.376,0.0531,Ulaanbaatar
WSOCbb,C11H22O11S,-0.376,0.0531,Ulaanbaatar
WSOCbb,C11H22O11S2,-0.376,0.0531,Ulaanbaatar
WSOCbb,C11H22O4S,-0.383,0.0486,Ulaanbaatar
WSOCbb,C11H22O5S,-0.383,0.0486,Ulaanbaatar
WSOCbb,C11H22O6S,-0.175,0.3828,Ulaanbaatar
WSOCbb,C11H22O7S,-0.275,0.1649,Ulaanbaatar
WSOCbb,C11H22O8S,-0.275,0.1649,Ulaanbaatar
WSOCbb,C11H22O9S2,-0.275,0.1649,Ulaanbaatar
WSOCbb,C11H23NO7S,0.353,0.071,Ulaanbaatar
WSOCbb,C11H23NO8S,0.377,0.0525,Ulaanbaatar
WSOCbb,C11H23NO9S,0.377,0.0525,Ulaanbaatar
WSOCbb,C11H24O3S,-0.743,0,Ulaanbaatar
WSOCbb,C11H24O4S,-0.399,0.0395,Ulaanbaatar
WSOCbb,C11H24O5S,-0.002,0.9904,Ulaanbaatar
WSOCbb,C11H24O6S,0.228,0.2524,Ulaanbaatar
WSOCbb,C11H6N4O6,0.228,0.2524,Ulaanbaatar
WSOCbb,C11H6O3,0.228,0.2524,Ulaanbaatar
WSOCbb,C11H7NO,0.169,0.3997,Ulaanbaatar
WSOCbb,C11H7NO2,0.288,0.1451,Ulaanbaatar
WSOCbb,C11H7NO4,0.245,0.2175,Ulaanbaatar
WSOCbb,C11H7NO5,0.245,0.2175,Ulaanbaatar
WSOCbb,C11H8N2O5,-0.06,0.7657,Ulaanbaatar
WSOCbb,C11H8N4O6,-0.06,0.7657,Ulaanbaatar
WSOCbb,C11H8O2,0.641,3.00E-04,Ulaanbaatar
WSOCbb,C11H8O3,0.646,3.00E-04,Ulaanbaatar
WSOCbb,C11H8O4,0.016,0.9374,Ulaanbaatar
WSOCbb,C11H8O5,0.437,0.0226,Ulaanbaatar
WSOCbb,C11H8O6,0.437,0.0226,Ulaanbaatar
